age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
18.97289,4,121151.66,9,0,2,0,0,0,0.0,0.0,20.0,1,0
38.0,2,115865.81,13,2,7,1,0,1,0.0,0.0,40.0,1,0
55.0,4,119132.12,9,2,2,1,0,0,0.0,0.0,40.0,1,0
42.0,1,194548.84,12,-1,4,2,1,1,0.0,0.0,30.0,1,0
52.0,2,140094.03,6,2,4,1,0,0,0.0,0.0,40.0,1,0
62.0,4,118625.62,11,2,7,1,0,0,0.0,0.0,40.0,1,0
46.0,1,57104.074,13,0,7,3,1,0,0.0,0.0,38.0,1,0
38.0,4,168433.48,13,2,3,1,0,0,0.0,0.0,60.0,1,0
26.0,4,326332.84,9,2,2,1,0,0,0.0,0.0,42.0,1,0
19.0,4,297201.47,9,0,3,3,0,1,0.0,0.0,20.0,1,0
18.0,4,232638.23,12,0,3,3,0,1,0.0,0.0,30.0,1,0
23.0,2,167473.44,9,2,2,1,0,0,0.0,0.0,40.0,1,0
37.0,4,41871.75,11,-1,7,0,0,1,0.0,0.0,20.0,1,0
45.0,4,168135.33,9,-1,3,0,0,0,0.0,0.0,40.0,1,0
27.0,4,293413.12,11,2,2,1,0,0,0.0,0.0,45.0,1,0
21.0,4,242044.89,11,0,7,3,0,1,0.0,0.0,30.0,1,0
38.0,4,231178.86,12,2,3,1,1,1,0.0,0.0,40.0,1,0
38.0,5,273174.75,9,2,1,1,0,0,0.0,0.0,48.0,1,0
52.0,4,178640.08,6,0,3,0,0,1,0.0,0.0,30.0,1,0
53.444332,4,132562.88,9,-1,3,0,0,1,0.0,0.0,40.0,1,0
46.0,4,194011.9,10,2,2,1,0,0,0.0,1597.4459,32.0,1,0
30.0,4,181162.86,6,-1,2,2,0,1,0.0,1911.6704,30.0,1,0
22.0,4,133227.62,10,0,3,-1,0,1,0.0,0.0,40.0,1,0
30.0,4,271252.0,9,-1,6,-1,0,0,0.0,0.0,40.0,0,0
27.0,4,115422.65,13,0,3,3,0,0,0.0,0.0,40.0,1,0
28.0,4,117040.58,13,-1,3,2,0,1,0.0,0.0,40.0,1,0
34.0,4,64010.56,13,0,2,0,0,1,0.0,0.0,45.0,1,0
60.0,4,366282.25,10,2,2,1,0,0,0.0,0.0,30.0,1,0
38.0,2,53970.223,6,-1,3,0,0,1,0.0,1940.9849,40.0,1,0
63.0,5,100045.6,9,-1,3,0,0,0,0.0,0.0,12.0,1,0
42.0,5,148044.0,7,2,2,1,1,0,0.0,0.0,40.0,1,0
35.0,4,166803.73,15,1,6,0,0,0,0.0,0.0,45.0,1,0
25.0,4,196512.7,5,2,2,1,0,0,0.0,0.0,40.0,1,0
57.564415,4,252245.08,12,-1,2,0,1,0,0.0,0.0,40.0,1,0
47.0,4,334261.22,9,-1,3,0,0,1,0.0,0.0,20.0,1,0
25.0,4,203526.61,9,0,2,0,1,0,0.0,0.0,45.0,1,0
33.0,4,243583.0,12,-1,6,-1,0,0,0.0,0.0,40.0,1,0
31.0,4,149765.67,13,-1,7,2,0,1,0.0,0.0,40.0,1,0
51.0,4,118321.266,9,-1,3,2,0,1,0.0,0.0,40.0,1,0
28.0,5,187208.02,10,2,3,1,0,0,0.0,0.0,40.0,1,0
22.0,4,171607.86,9,0,3,3,0,1,0.0,0.0,24.0,0,0
37.0,4,101801.58,9,2,3,1,0,0,0.0,0.0,40.0,1,0
45.779453,5,365971.34,9,-1,2,0,0,1,0.0,0.0,15.0,1,0
57.0,4,151107.39,7,-1,3,2,0,0,4000.9175,0.0,50.0,1,0
45.0,5,171224.86,6,2,2,1,0,0,0.0,0.0,40.0,1,0
73.76616,2,152631.88,15,2,6,1,0,0,0.0,0.0,48.0,1,0
32.0,4,289812.5,9,2,3,1,0,0,0.0,0.0,40.0,1,0
24.0,4,194127.98,9,0,2,0,0,0,0.0,0.0,40.0,1,0
52.0,3,185860.08,9,2,6,1,0,0,0.0,0.0,40.0,1,0
28.0,5,48375.03,9,2,2,1,0,0,0.0,0.0,50.0,1,0
51.0,4,208803.81,9,-1,2,2,0,0,0.0,0.0,30.0,1,0
41.0,1,214365.53,6,-1,1,2,0,1,0.0,0.0,20.0,1,0
24.0,5,257316.23,10,2,2,1,0,0,0.0,0.0,60.0,1,0
47.0,5,169126.64,10,2,3,1,0,0,0.0,0.0,40.0,1,0
58.0,5,58009.938,9,2,3,1,0,0,0.0,0.0,35.0,1,0
32.0,4,103705.72,9,0,7,0,0,1,0.0,0.0,40.0,1,0
23.420914,4,204747.92,13,0,3,3,0,0,0.0,0.0,40.0,1,0
31.0,2,237813.45,10,2,2,1,0,0,2617.8052,0.0,60.0,1,0
54.0,5,150606.9,9,2,3,1,0,0,0.0,0.0,50.0,0,0
36.0,1,143081.97,10,-1,2,2,0,1,0.0,0.0,40.0,1,0
20.0,1,119940.21,10,0,3,3,-1,1,0.0,0.0,10.0,1,0
25.0,4,32206.062,10,0,3,3,-1,1,0.0,0.0,60.0,1,0
33.0,4,121541.09,9,0,3,0,0,1,0.0,0.0,40.0,1,0
38.0,4,172457.64,12,-1,3,0,0,1,0.0,0.0,20.0,1,0
20.0,4,39502.363,10,0,3,3,0,0,0.0,0.0,40.0,1,0
29.0,6,116185.945,9,2,7,1,0,0,0.0,0.0,45.0,1,0
53.0,4,200918.92,10,0,3,0,1,1,0.0,0.0,37.421566,1,0
24.0,3,261698.6,6,2,3,1,0,0,0.0,0.0,40.0,1,0
27.028824,4,25085.182,9,0,3,3,0,1,0.0,0.0,40.0,1,0
31.0,4,184111.77,13,0,3,3,0,1,0.0,0.0,40.0,1,0
58.0,1,334815.47,12,2,7,1,0,0,0.0,2048.1829,20.0,1,0
20.0,4,200452.64,6,0,2,3,0,0,0.0,0.0,28.0,1,0
31.0,2,146497.67,13,0,5,3,0,1,0.0,0.0,40.0,1,0
36.0,4,156289.56,12,2,3,1,0,0,0.0,0.0,40.0,1,0
28.0,4,319632.12,10,2,2,1,0,0,0.0,0.0,40.0,1,0
45.0,4,86690.49,10,-1,2,0,0,1,0.0,0.0,40.0,1,0
30.0,4,188273.97,13,0,3,0,0,1,0.0,0.0,40.0,1,0
22.0,4,49910.1,10,1,7,0,0,1,0.0,0.0,43.0,1,0
42.0,4,235096.05,13,2,7,1,0,0,0.0,0.0,40.0,1,0
32.0,4,104017.19,5,-1,3,0,0,1,0.0,0.0,40.0,1,0
31.0,4,155233.75,10,0,2,0,0,0,0.0,0.0,30.0,1,0
46.0,4,227680.53,14,-1,6,2,0,0,0.0,0.0,81.345505,1,0
32.0,4,255846.61,10,2,5,1,0,0,0.0,0.0,40.0,1,0
36.0,4,60553.414,13,0,2,2,0,1,0.0,0.0,40.0,1,0
34.0,5,131481.42,13,2,6,1,0,1,0.0,0.0,40.0,1,0
60.0,4,85456.18,13,1,7,0,0,1,0.0,0.0,40.0,1,0
47.0,4,89564.734,14,-1,5,0,0,0,0.0,0.0,40.0,0,0
67.91785,1,201621.17,14,2,7,1,0,0,7194.346,0.0,40.0,1,0
33.0,4,303917.97,9,-1,3,2,0,1,0.0,0.0,50.0,1,0
41.0,4,117241.45,10,-1,3,2,0,1,0.0,0.0,16.0,1,0
44.0,6,38585.793,13,-1,3,0,0,1,3960.3845,0.0,50.0,1,0
60.0,5,126702.125,11,2,2,1,0,0,3472.7751,0.0,40.0,1,0
22.0,4,137890.86,11,0,2,0,0,1,0.0,0.0,30.0,1,0
44.0,4,115048.5,9,2,2,1,0,0,0.0,0.0,50.0,1,0
20.0,4,119397.1,10,0,2,3,0,0,0.0,0.0,24.0,1,0
64.0,4,53884.324,9,2,2,1,1,0,5226.0938,0.0,40.0,1,0
21.33809,4,111835.57,10,2,3,0,0,1,0.0,0.0,40.0,0,0
30.0,4,146534.58,9,-1,5,2,0,0,0.0,0.0,40.0,1,0
27.0,4,139751.48,9,0,3,2,0,1,0.0,0.0,40.0,0,0
26.0,4,117444.375,9,2,2,1,0,0,0.0,2001.2358,30.396114,1,0
52.0,4,170630.58,9,0,2,0,0,0,0.0,0.0,40.0,1,0
33.0,2,223597.27,10,-1,3,0,-1,1,0.0,0.0,40.0,1,0
35.0,4,165228.03,10,2,2,1,0,0,0.0,0.0,37.0,1,0
50.0,1,173198.89,10,-1,3,2,1,1,0.0,0.0,46.0,1,0
38.0,4,307869.47,11,2,3,1,0,0,0.0,0.0,50.0,1,0
42.0,4,53685.527,11,0,7,0,1,0,0.0,0.0,50.0,1,0
48.0,4,178040.89,9,2,3,1,0,0,0.0,0.0,40.0,1,0
20.0,4,114650.14,10,0,6,3,0,1,0.0,0.0,40.0,1,0
29.0,4,272670.9,4,-1,1,2,0,1,0.0,0.0,40.0,1,0
36.0,4,363614.9,7,2,4,1,0,0,0.0,0.0,45.0,1,0
48.38187,5,73671.52,11,-1,5,0,0,1,0.0,0.0,52.0,1,0
28.0,4,31089.207,10,0,7,3,0,0,0.0,0.0,60.0,1,0
40.0,4,167758.62,9,2,3,1,0,1,0.0,0.0,40.0,1,0
58.0,4,223582.36,9,0,3,0,0,1,0.0,0.0,40.0,1,0
31.0,4,149494.0,8,2,2,1,0,1,0.0,0.0,40.0,1,0
30.0,4,115026.43,9,0,3,0,0,0,0.0,0.0,40.0,1,0
25.0,5,262484.56,12,2,3,1,0,0,0.0,0.0,40.0,1,0
51.0,4,67256.08,7,2,2,1,-1,0,0.0,0.0,40.0,1,0
34.0,5,196714.78,13,1,3,3,-1,1,0.0,0.0,45.0,0,0
34.0,4,41501.453,9,2,4,1,0,0,0.0,0.0,40.0,1,0
19.0,2,80804.07,10,0,6,3,0,1,0.0,0.0,40.0,1,0
37.0,3,104943.79,9,-1,3,2,1,1,0.0,0.0,32.0,1,0
39.0,4,43633.297,13,-1,3,0,0,1,0.0,0.0,40.0,1,0
26.0,4,264503.44,9,2,2,1,0,0,0.0,0.0,45.0,1,0
29.0,5,27726.564,9,2,1,1,0,0,0.0,0.0,50.0,1,0
36.0,4,247121.17,7,0,2,3,0,0,0.0,0.0,40.0,1,0
59.0,4,107020.44,5,-1,2,0,0,1,0.0,0.0,50.0,1,0
25.0,4,142132.14,13,0,2,0,0,1,0.0,0.0,30.0,1,0
62.0,5,91057.67,10,0,7,3,0,0,0.0,0.0,40.0,1,0
24.0,4,386873.8,6,1,2,3,0,1,0.0,0.0,40.0,1,0
30.0,4,172524.14,13,2,6,1,0,0,0.0,0.0,40.0,1,0
24.0,4,193941.95,10,0,4,0,0,1,0.0,0.0,55.0,1,0
37.0,4,266892.28,2,2,2,1,0,0,0.0,0.0,40.0,1,0
47.0,5,102550.33,4,2,3,1,0,0,0.0,0.0,40.0,1,0
49.11707,6,97712.37,5,2,3,1,0,0,0.0,0.0,40.0,1,0
40.0,4,33369.324,9,0,2,0,0,0,0.0,0.0,40.0,1,0
29.0,4,64406.168,9,2,3,1,-1,0,0.0,0.0,40.0,1,0
29.0,4,160906.14,9,0,2,0,1,1,0.0,0.0,40.0,1,0
22.0,3,449355.7,9,0,5,0,0,0,0.0,0.0,40.0,1,0
56.0,5,192739.8,4,2,7,1,0,0,0.0,0.0,50.0,1,0
52.0,6,179492.53,10,2,2,1,0,0,0.0,0.0,20.0,1,0
24.0,4,129487.195,13,0,2,0,0,1,0.0,0.0,40.0,1,0
33.0,4,134487.6,13,2,2,1,0,0,0.0,0.0,40.0,1,0
45.0,4,163441.81,6,-1,2,0,0,1,0.0,0.0,30.0,1,0
44.672737,1,97568.195,9,2,2,1,0,0,0.0,0.0,40.0,1,0
36.0,4,141403.7,10,2,2,1,1,1,3867.6704,0.0,40.0,1,0
27.0,4,262753.2,10,0,3,2,0,1,0.0,0.0,37.0,1,0
57.24088,5,45187.082,14,-1,7,0,0,0,0.0,0.0,20.0,1,0
35.0,4,177152.6,10,-1,3,2,0,1,0.0,0.0,40.0,1,0
37.0,4,209406.72,8,-1,2,3,1,1,0.0,0.0,40.0,1,0
21.0,4,309210.38,9,0,4,3,0,0,0.0,0.0,30.0,1,0
27.0,4,339943.53,9,0,3,-1,0,0,0.0,0.0,40.0,1,0
24.0,4,388669.66,9,2,3,1,0,1,0.0,0.0,40.0,0,0
33.0,4,183440.9,13,0,3,0,0,0,0.0,0.0,35.0,1,0
46.0,4,139694.28,5,-1,2,2,0,1,0.0,0.0,20.0,1,0
38.0,1,396626.3,9,2,7,1,0,1,0.0,0.0,48.0,1,0
24.606346,4,54177.805,11,0,3,3,0,0,0.0,0.0,40.0,1,0
47.0,4,79351.91,10,-1,2,2,-1,1,0.0,0.0,10.089969,1,0
28.0,4,184361.94,5,0,3,0,0,0,0.0,0.0,40.0,1,0
41.0,3,159797.78,10,2,6,1,0,1,0.0,0.0,18.0,1,0
29.0,4,208178.67,9,0,1,-1,0,0,0.0,0.0,40.0,1,0
44.0,4,280845.94,1,2,3,1,0,1,0.0,0.0,40.0,0,0
56.0,5,115875.7,7,-1,3,0,0,0,0.0,0.0,50.0,1,0
41.0,4,152569.25,8,2,7,1,0,0,0.0,0.0,40.0,1,0
45.0,1,195819.38,9,2,2,1,0,0,0.0,0.0,45.0,1,0
20.0,1,178966.08,8,0,2,3,0,0,0.0,0.0,20.0,1,0
17.0,4,149958.75,14,0,3,3,0,0,0.0,0.0,40.0,1,0
21.0,4,230176.78,10,0,4,0,0,1,0.0,0.0,40.0,1,0
42.0,4,117624.95,9,0,2,0,0,0,0.0,0.0,40.0,1,0
53.0,1,97262.016,9,-1,7,2,0,1,0.0,0.0,40.0,1,0
19.0,4,40073.035,9,0,2,3,0,0,0.0,0.0,20.0,1,0
22.0,4,119004.086,9,0,3,2,0,1,0.0,0.0,40.0,1,0
36.0,4,205978.38,9,-1,6,0,0,0,2595.4246,0.0,50.0,0,0
44.0,3,124706.03,13,2,2,1,1,0,0.0,0.0,35.0,1,0
43.0,4,64714.25,10,-1,3,-1,0,0,0.0,2290.932,40.0,1,0
23.0,4,268362.25,3,0,2,-1,-1,0,0.0,0.0,40.0,0,0
22.0,2,166264.47,13,2,3,1,0,1,0.0,0.0,20.0,1,0
18.0,4,91415.12,7,0,2,3,0,0,0.0,0.0,19.994257,1,0
62.0,4,202443.05,14,2,7,1,0,0,0.0,0.0,40.0,1,0
46.0,4,193137.39,9,2,3,1,0,0,0.0,0.0,50.0,1,0
59.0,4,181240.7,13,2,7,1,0,0,3894.2544,0.0,45.0,1,0
21.0,2,558357.9,10,-1,2,-1,0,1,0.0,0.0,24.0,1,0
31.0,4,178686.69,10,-1,3,0,0,1,0.0,0.0,40.0,1,0
41.0,1,266378.62,6,-1,5,2,0,1,0.0,0.0,40.0,1,0
28.0,4,209581.84,9,2,7,1,1,0,0.0,0.0,40.0,1,0
45.0,4,201696.3,10,-1,3,0,0,1,0.0,0.0,40.0,0,0
21.0,4,161078.83,10,0,6,3,0,1,0.0,0.0,40.0,1,0
31.0,4,147941.86,13,2,7,1,0,0,0.0,0.0,50.0,1,0
40.0,2,124173.32,4,2,2,1,0,0,4095.495,0.0,50.0,0,0
55.0,4,170985.48,13,-1,2,2,0,1,0.0,0.0,40.0,1,0
34.02208,4,330873.97,9,0,2,0,0,1,0.0,0.0,40.0,0,0
33.0,4,56466.867,9,0,2,0,0,0,0.0,0.0,40.0,1,0
61.0,6,131544.67,10,2,2,1,0,0,0.0,0.0,65.0,1,0
46.0,2,203098.45,7,-1,3,0,0,0,0.0,0.0,40.0,1,0
28.0,1,197460.5,13,0,3,0,0,1,0.0,0.0,40.0,1,0
31.0,4,185097.03,3,2,2,0,-1,0,0.0,0.0,40.0,0,0
50.0,4,118751.234,11,-1,3,0,0,1,0.0,0.0,40.0,1,0
27.0,6,98994.484,11,0,3,0,0,0,0.0,0.0,40.0,1,0
33.0,4,157842.45,9,2,7,1,0,0,0.0,0.0,40.0,1,0
60.0,4,176539.39,9,-1,3,0,0,0,0.0,0.0,40.0,1,0
58.0,4,286412.6,9,2,2,1,0,1,0.0,0.0,40.0,0,0
50.0,4,184290.7,9,2,2,1,1,0,0.0,0.0,35.0,1,0
39.0,2,133559.58,9,2,2,1,0,0,43886.32,0.0,40.0,1,1
44.0,4,111400.79,13,0,3,0,0,1,0.0,0.0,25.0,1,0
66.79417,4,50522.547,2,2,2,1,0,0,986.1879,0.0,30.0,0,0
65.12765,5,191813.73,9,-1,3,3,0,0,0.0,0.0,78.468445,1,0
59.0,6,194021.47,13,2,3,1,0,0,0.0,0.0,55.0,1,0
51.0,1,126642.62,9,2,3,1,0,0,0.0,0.0,40.0,1,0
73.0,5,283058.62,9,2,3,1,0,0,0.0,0.0,40.0,1,0
33.0,5,129185.25,6,-1,7,0,0,0,0.0,0.0,38.0,1,0
43.0,4,25622.656,12,2,7,1,0,0,0.0,0.0,45.0,1,0
22.0,2,211797.56,10,0,3,3,0,1,0.0,0.0,14.336764,1,0
44.0,4,331889.06,13,0,3,0,1,1,0.0,0.0,40.0,0,0
27.0,4,39174.42,9,0,2,0,0,0,0.0,0.0,40.0,1,0
40.0,4,395260.38,13,2,2,1,0,0,0.0,0.0,40.0,1,0
68.0,4,371236.94,4,2,2,1,0,0,0.0,0.0,24.0,1,0
40.0,4,115365.67,9,2,3,1,0,0,0.0,0.0,45.0,1,0
56.0,4,158649.42,4,2,2,1,0,0,0.0,0.0,25.0,1,0
27.0,3,504411.2,10,0,3,0,0,1,0.0,0.0,40.0,1,0
59.0,4,62026.977,10,-1,3,0,-1,1,0.0,0.0,40.0,1,0
29.0,2,165784.33,10,2,2,1,1,0,0.0,0.0,40.0,1,0
89.76379,4,20743.43,9,-1,2,2,0,0,0.0,0.0,40.0,1,0
33.528553,4,69843.164,4,2,2,1,-1,0,0.0,0.0,40.0,0,0
20.0,4,175064.42,10,0,3,3,0,1,0.0,0.0,10.594474,1,0
44.0,4,156677.22,11,2,7,1,0,0,0.0,0.0,40.0,1,0
48.0,4,74218.586,9,0,2,0,1,1,0.0,0.0,15.0,1,0
48.0,4,31957.12,9,-1,3,-1,0,0,0.0,0.0,49.380352,1,0
45.0,4,108941.08,13,2,2,1,0,0,2910.4465,0.0,40.0,1,0
35.0,4,108645.6,9,0,2,0,0,1,0.0,0.0,40.0,1,0
45.0,4,222724.16,9,1,2,2,0,0,0.0,0.0,40.0,1,0
67.0,4,176065.31,9,2,2,1,0,0,0.0,0.0,30.0,1,0
35.0,1,345630.66,13,2,2,1,0,0,0.0,0.0,40.0,1,0
24.0,4,32180.352,10,0,3,3,-1,1,0.0,0.0,40.0,1,0
25.0,4,184891.38,10,0,7,3,0,1,0.0,0.0,38.0,1,0
29.0,4,176774.23,15,0,2,0,0,1,0.0,0.0,30.0,1,0
34.0,4,36170.293,2,0,2,-1,-1,1,0.0,0.0,30.0,0,0
65.0,6,26659.291,11,2,3,1,0,0,0.0,0.0,25.0,1,0
46.0,5,199898.2,9,2,3,1,0,0,0.0,0.0,40.0,1,0
51.0,5,26916.895,10,-1,2,2,0,1,0.0,0.0,40.0,1,0
28.0,4,234576.22,13,0,3,0,0,1,0.0,0.0,40.0,1,0
28.0,4,198077.55,9,2,3,1,0,0,0.0,0.0,55.0,1,0
40.0,5,139123.17,10,2,1,1,0,0,0.0,0.0,36.0,1,0
34.0,4,151775.45,9,2,7,1,0,0,0.0,0.0,40.0,1,0
39.0,4,135892.33,9,-1,2,2,0,1,0.0,0.0,40.0,1,0
46.0,2,552696.4,13,-1,3,0,0,1,0.0,0.0,40.0,1,0
47.0,6,53128.977,9,-1,3,2,0,1,0.0,0.0,25.0,1,0
19.0,4,188006.25,7,0,2,3,0,0,0.0,0.0,40.0,1,0
43.0,4,113727.625,9,2,2,1,0,0,0.0,0.0,40.0,1,0
41.0,4,50317.613,9,2,7,1,0,0,0.0,0.0,40.0,1,0
46.038143,4,39049.484,12,2,3,1,-1,0,0.0,0.0,40.0,1,0
33.0,3,200302.27,13,0,3,3,0,1,0.0,0.0,25.0,1,0
37.0,4,199688.33,12,0,3,0,0,0,0.0,0.0,40.0,1,0
36.0,4,98124.73,9,2,7,1,0,0,0.0,0.0,40.0,1,0
18.0,4,29204.717,8,0,3,3,0,1,0.0,0.0,30.0,1,0
40.0,4,47721.895,13,0,7,0,0,0,0.0,0.0,40.0,1,0
37.0,4,375597.25,9,-1,3,2,0,1,0.0,0.0,40.0,1,0
34.0,4,136899.05,6,0,2,2,0,0,0.0,0.0,60.0,1,0
52.0,4,214112.6,9,-1,3,-1,0,1,0.0,0.0,40.0,1,0
40.0,3,118683.7,7,-1,3,2,1,1,0.0,0.0,40.0,1,0
32.0,4,241591.62,10,2,2,1,0,0,0.0,0.0,40.0,1,0
40.0,5,123647.31,9,2,7,1,0,0,0.0,0.0,40.0,1,0
33.0,4,250028.3,14,2,2,1,0,0,0.0,0.0,40.0,1,0
35.0,5,97282.7,11,2,2,1,0,0,0.0,0.0,40.0,1,0
63.0,4,176638.92,10,2,3,1,0,0,0.0,0.0,40.0,1,0
44.0,4,171164.11,9,2,3,1,0,1,0.0,0.0,40.0,1,0
40.0,4,27524.766,12,-1,7,0,0,0,5013.0,0.0,40.0,1,0
62.0,4,250030.45,5,2,3,1,-1,1,0.0,0.0,48.0,1,0
28.0,6,166546.06,14,2,7,1,0,0,0.0,0.0,40.0,1,1
20.0,4,257455.84,9,0,3,-1,0,0,0.0,0.0,40.0,1,0
29.0,4,311053.6,10,-1,3,3,0,0,0.0,0.0,35.0,1,0
22.0,4,206676.19,9,2,3,1,0,1,0.0,0.0,50.0,1,0
25.0,4,183774.72,10,0,3,3,0,1,0.0,0.0,20.0,1,0
59.0,5,31805.053,6,2,2,1,0,0,0.0,0.0,40.0,1,0
41.0,5,20583.934,7,2,1,1,0,0,0.0,0.0,52.0,1,1
44.0,3,176060.69,9,-1,2,0,0,0,0.0,0.0,40.0,1,0
39.0,4,200452.31,10,0,7,2,0,1,0.0,0.0,40.0,1,0
32.0,4,315711.78,10,-1,3,2,0,0,0.0,0.0,24.01229,1,0
23.0,4,124900.63,10,0,2,0,0,0,0.0,0.0,40.0,1,0
19.0,4,210191.02,9,0,2,3,0,1,0.0,0.0,52.0,1,0
17.0,4,191968.27,7,0,3,3,0,1,0.0,0.0,20.0,1,0
89.932495,4,63482.812,9,2,4,1,-1,0,0.0,0.0,40.0,1,0
20.0,4,175323.17,10,0,3,3,0,1,0.0,0.0,14.304163,1,0
41.0,4,110766.95,9,2,4,1,0,0,0.0,0.0,40.0,1,0
25.0,4,104534.59,10,2,2,1,0,0,0.0,0.0,45.0,1,0
17.0,5,176952.45,7,0,2,3,0,0,0.0,0.0,14.368514,1,0
44.0,2,36354.68,9,-1,2,2,0,0,0.0,0.0,40.0,1,0
66.0,1,217542.42,9,2,7,1,0,0,0.0,0.0,50.0,1,0
32.0,4,208408.64,13,-1,3,-1,0,0,0.0,0.0,40.0,1,0
28.41206,1,219015.5,10,0,2,3,0,0,0.0,0.0,40.0,1,0
17.0,2,184542.0,7,0,3,3,0,0,0.0,0.0,10.0,1,0
57.0,4,238500.14,10,-1,1,2,1,1,0.0,0.0,40.0,1,0
22.0,4,75668.98,13,0,3,3,0,1,0.0,0.0,40.0,1,0
25.0,4,307998.34,9,2,7,1,0,0,0.0,0.0,40.0,1,0
31.0,4,88050.83,13,2,6,1,0,0,0.0,0.0,50.0,1,0
30.0,2,130747.93,9,-1,4,2,0,1,0.0,0.0,40.0,1,0
23.0,4,224846.4,10,-1,3,2,0,1,0.0,0.0,38.0,1,0
21.811485,4,114640.11,13,0,2,-1,0,0,0.0,0.0,40.0,1,0
65.0,4,146373.19,6,1,6,0,0,0,0.0,0.0,40.0,1,0
39.0,1,173702.11,9,2,2,1,0,0,0.0,0.0,40.0,1,0
31.0,4,88484.875,10,2,6,1,0,0,0.0,0.0,45.0,1,0
48.0,5,396646.84,9,-1,3,0,0,0,0.0,0.0,40.0,1,0
37.0,4,160773.19,9,2,2,1,1,1,2993.1035,0.0,40.0,1,0
61.0,4,101261.97,16,2,3,1,0,0,0.0,0.0,20.0,1,0
40.0,4,306232.0,5,-1,3,2,0,1,0.0,0.0,40.0,1,0
21.0,4,194098.3,10,0,2,3,0,0,0.0,0.0,40.0,1,0
46.5803,4,227684.8,13,2,2,1,0,0,4402.736,0.0,40.0,1,0
37.0,4,495331.22,11,2,7,1,0,0,0.0,0.0,40.0,0,0
20.0,4,312309.6,12,0,2,3,0,0,0.0,0.0,96.72579,1,0
30.0,2,206466.3,10,0,3,3,0,0,0.0,0.0,50.0,1,0
41.37248,4,198085.45,9,2,2,1,0,0,0.0,0.0,46.137005,1,0
51.0,4,78161.695,9,2,3,1,0,0,0.0,0.0,55.995396,1,0
53.985016,4,73038.74,9,2,3,1,0,0,0.0,0.0,40.0,1,0
23.0,4,207031.02,10,2,2,1,0,0,0.0,1740.0,40.0,1,0
21.0,4,303285.75,10,0,3,3,1,1,0.0,0.0,15.0,1,0
24.0,4,65876.47,13,1,2,3,0,1,0.0,0.0,40.0,1,0
52.0,4,246788.02,5,1,3,2,0,0,0.0,0.0,40.0,1,0
27.0,4,356469.66,10,0,3,0,0,0,0.0,0.0,25.0,0,0
34.0,4,169481.25,9,2,6,1,0,0,0.0,0.0,50.0,1,1
32.0,6,184861.2,9,0,6,0,0,0,0.0,0.0,80.0,1,0
